iter	Passed	Remaining
537	124357	106790
538	124538	106516
539	124740	106260
540	124907	105975
541	125093	105706
542	125287	105444
543	125473	105176
544	125655	104905
545	125850	104644
546	126041	104381
547	126225	104113
548	126418	103851
549	126612	103592
550	126788	103317
551	126986	103061
552	127174	102797
553	127364	102534
554	127550	102270
555	127744	102011
556	127945	101758
557	128126	101491
558	128308	101223
559	128509	100972
560	128695	100708
561	128909	100466
562	129095	100203
563	129278	99938
564	129459	99672
565	129656	99418
566	129849	99161
567	130035	98899
568	130223	98640
569	130408	98378
570	130594	98117
571	130800	97871
572	130974	97601
573	131166	97346
574	131357	97090
575	131542	96830
576	131739	96578
577	131919	96315
578	132093	96047
579	132300	95803
580	132485	95544
581	132735	95332
582	132911	95066
583	133073	94792
584	133272	94544
585	133450	94280
586	133640	94026
587	133852	93788
588	134044	93534
589	134216	93269
590	134407	93016
591	134588	92757
592	134781	92506
593	134962	92246
594	135145	91990
595	135338	91739
596	135544	91498
597	135733	91245
598	135911	90985
599	136131	90754
600	136346	90519
601	136560	90284
602	136757	90037
603	136945	89785
604	137143	89539
605	137329	89286
606	137510	89030
607	137694	88777
608	137885	88527
609	138059	88267
610	138257	88022
611	138446	87773
612	138641	87527
613	138824	87273
614	139004	87018
615	139190	86768
616	139374	86515
617	139551	86259
618	139739	86011
619	139920	85757
620	140150	85534
621	140336	85284
622	140535	85043
623	140731	84799
624	140931	84558
625	141117	84309
626	141310	84064
627	141498	83817
628	141677	83565
629	141880	83326
630	142056	83072
631	142259	82834
632	142451	82590
633	142627	82337
634	142811	82088
635	143041	81866
636	143218	81614
637	143403	81366
638	143596	81124
639	143787	80880
640	143966	80630
641	144140	80377
642	144326	80131
643	144515	79887
644	144701	79642
645	144883	79394
646	145053	79140
647	145247	78899
648	145439	78658
649	145629	78415
650	145816	78171
651	146008	77930
652	146198	77688
653	146388	77446
654	146575	77203
655	146763	76961
656	146958	76722
657	147144	76479
658	147345	76244
659	147536	76003
660	147717	75758
661	147926	75527
662	148102	75279
663	148308	75047
664	148500	74808
665	148681	74563
666	148876	74326
667	149055	74081
668	149239	73838
669	149454	73611
670	149626	73364
671	149825	73128
672	150005	72885
673	150196	72646
674	150369	72400
675	150597	72179
676	150781	71938
677	150968	71698
678	151142	71453
679	151338	71218
680	151532	70982
681	151716	70741
682	151891	70497
683	152083	70261
684	152264	70019
685	152452	69781
686	152655	69550
687	152833	69308
688	153016	69068
689	153225	68840
690	153425	68608
691	153599	68364
692	153790	68129
693	153978	67892
694	154163	67654
695	154331	67409
696	154586	67201
697	154775	66965
698	154955	66726
699	155141	66489
700	155341	66258
701	155532	66023
702	155722	65788
703	155916	65555
704	156117	65325
705	156294	65085
706	156491	64854
707	156681	64619
708	156874	64386
709	157070	64155
710	157248	63916
711	157444	63685
712	157635	63452
713	157811	63213
714	158006	62981
715	158188	62745
716	158383	62514
717	158588	62286
718	158775	62052
719	158950	61814
720	159136	61579
721	159329	61348
722	159515	61114
723	159695	60878
724	159886	60646
725	160061	60408
726	160253	60177
727	160452	59949
728	160649	59720
729	160839	59488
730	161023	59255
731	161209	59022
732	161400	58791
733	161586	58558
734	161790	58332
735	161972	58098
736	162156	57866
737	162356	57638
738	162553	57410
739	162749	57182
740	162969	56962
741	163149	56728
742	163350	56502
743	163540	56271
744	163728	56041
745	163930	55815
746	164116	55584
747	164292	55349
748	164501	55126
749	164681	54893
750	164868	54663
751	165057	54433
752	165254	54207
753	165439	53976
754	165623	53745
755	165818	53518
756	166013	53290
757	166205	53063
758	166400	52835
759	166604	52612
760	166786	52381
761	166971	52151
762	167161	51923
763	167350	51694
764	167542	51467
765	167727	51237
766	167921	51011
767	168101	50780
768	168297	50555
769	168502	50331
770	168728	50115
771	168917	49887
772	169101	49658
773	169279	49427
774	169474	49202
775	169661	48974
776	169852	48747
777	170030	48517
778	170231	48294
779	170432	48070
780	170619	47843
781	170827	47622
782	171025	47397
783	171228	47175
784	171479	46965
785	171729	46756
786	171936	46534
787	172133	46310
788	172314	46081
789	172504	45855
790	172707	45633
791	172908	45410
792	173097	45184
793	173321	44967
794	173515	44742
795	173701	44516
796	173910	44295
797	174131	44078
798	174324	43853
799	174514	43628
800	174695	43401
801	174931	43187
802	175124	42963
803	175300	42734
804	175504	42513
805	175709	42292
806	175894	42066
807	176112	41848
808	176301	41623
809	176526	41407
810	176716	41182
811	176927	40963
812	177147	40746
813	177349	40524
814	177544	40301
815	177726	40075
816	177915	39851
817	178095	39625
818	178286	39401
819	178499	39182
820	178714	38964
821	178911	38742
822	179108	38520
823	179302	38297
824	179528	38081
825	179752	37865
826	180165	37688
827	180546	37504
828	180822	37298
829	181147	37102
830	181448	36901
831	181667	36682
832	181905	36468
833	182180	36261
834	182500	36062
835	182706	35841
836	183002	35638
837	183248	35425
838	183584	35228
839	183852	35019
840	184142	34814
841	184351	34593
842	184557	34371
843	184747	34147
844	184942	33924
845	185131	33700
846	185324	33476
847	185580	33264
848	185782	33042
849	186169	32853
850	186436	32642
851	186637	32420
852	186872	32204
853	187088	31984
854	187280	31760
855	187498	31541
856	187704	31320
857	187908	31099
858	188101	30875
859	188300	30653
860	188499	30431
861	188677	30205
862	188875	29983
863	189081	29762
864	189272	29539
865	189476	29318
866	189660	29094
867	189852	28871
868	190047	28649
869	190254	28428
870	190430	28203
871	190598	27977
872	190778	27753
873	190978	27532
874	191215	27316
875	191402	27093
876	191592	26871
877	191775	26647
878	191959	26424
879	192147	26201
880	192339	25980
881	192525	25757
882	192720	25535
883	192913	25314
884	193095	25091
885	193278	24868
886	193469	24647
887	193647	24423
888	193834	24202
889	194049	23983
890	194227	23760
891	194422	23539
892	194593	23316
893	194784	23095
894	194984	22875
895	195171	22653
896	195356	22432
897	195550	22211
898	195742	21991
899	195931	21770
900	196124	21549
901	196321	21329
902	196514	21109
903	196712	20889
904	196917	20670
905	197124	20452
906	197349	20235
907	197578	20019
908	197818	19803
909	198043	19586
910	198229	19365
911	198439	19147
912	198635	18928
913	198846	18709
914	199040	18490
915	199223	18269
916	199414	18049
917	199606	17829
918	199819	17611
919	200001	17391
920	200181	17170
921	200375	16951
922	200604	16735
923	200816	16517
924	201046	16301
925	201246	16082
926	201449	15863
927	201659	15645
928	201841	15426
929	202031	15206
930	202217	14987
931	202414	14768
932	202584	14547
933	202778	14329
934	202975	14110
935	203182	13892
936	203372	13673
937	203554	13454
938	203751	13236
939	203941	13017
940	204126	12798
941	204328	12580
942	204506	12361
943	204717	12144
944	204900	11925
945	205079	11706
946	205266	11487
947	205466	11270
948	205682	11053
949	205929	10838
950	206126	10620
951	206307	10402
952	206557	10186
953	206752	9969
954	206972	9752
955	207163	9534
956	207379	9317
957	207641	9103
958	207843	8885
959	208046	8668
960	209177	8488
961	210125	8300
962	211192	8114
963	212304	7928
964	213433	7741
965	214451	7547
966	215523	7354
967	216365	7152
968	217453	6956
969	218334	6752
970	219331	6550
971	220092	6340
972	221042	6133
973	221889	5923
974	222640	5708
975	223295	5490
976	223489	5261
977	223727	5032
978	223991	4804
979	224308	4577
980	224562	4349
981	224787	4120
982	224995	3891
983	225189	3661
984	225372	3432
985	225604	3203
986	225784	2973
987	225959	2744
988	226144	2515
989	226332	2286
990	226525	2057
991	226714	1828
992	226900	1599
993	227098	1370
994	227333	1142
995	227523	913
996	227716	685
997	227936	456
998	228124	228
999	228317	0
